#Version 6.4.1.1 
#New best, Iteration, Feasible,Objective,Req 1,Con 1,[total profit],[Reorder Point],[Taget Stock],[trs],
#, , , ,,,,integer (20 40), integer (30 65), integer (-10 10), 
*,1,,36656.3333333333,36656.3333333333,50,36656.3333333333,35,50,0,
*,2,,37065.3333333333,37065.3333333333,48,37065.3333333333,30,48,0,
*,3,,37173,37173,47,37173,28,47,0,
,4,,35903.6666666667,35903.6666666667,47,35903.6666666667,27,47,0,
*,5,,38048.3333333333,38048.3333333333,30,38048.3333333333,20,30,-10,
,6,,1408,1408,65,1408,40,65,10,
*,7,,49060,49060,39,49060,25,39,-5,
,8,,47235,47235,35,47235,24,35,-7,
,9,,21310.3333333333,21310.3333333333,56,21310.3333333333,35,56,5,
,10,,1865.66666666667,1865.66666666667,30,1865.66666666667,20,30,0,
,11,,26013.3333333333,26013.3333333333,64,26013.3333333333,22,64,-8,
,12,infeas,-44890,-44890,31,-44890,35,31,8,
,13,infeas,-29223,-29223,63,-29223,23,63,7,
,14,,38637.6666666667,38637.6666666667,32,38637.6666666667,37,32,-7,
,15,,28243.6666666667,28243.6666666667,64,28243.6666666667,34,64,-7,
,16,infeas,-3734.66666666667,-3734.66666666667,46,-3734.66666666667,20,46,5,
,17,,44424.3333333333,44424.3333333333,47,44424.3333333333,32,47,-9,
,18,infeas,-2013.66666666667,-2013.66666666667,39,-2013.66666666667,27,39,8,
,19,,14726.6666666667,14726.6666666667,64,14726.6666666667,29,64,1,
,20,,11002.3333333333,11002.3333333333,45,11002.3333333333,34,45,10,
,21,infeas,-44890,-44890,31,-44890,40,31,8,
,22,,6551,6551,63,6551,35,63,7,
,23,,48096,48096,41,48096,26,41,-4,
*,24,,49815.3333333333,49815.3333333333,36,49815.3333333333,24,36,-7,
*,25,,51026.6666666667,51026.6666666667,37,51026.6666666667,24,37,-7,
,26,,32341.3333333333,32341.3333333333,48,32341.3333333333,27,48,0,
,27,,13215.6666666667,13215.6666666667,65,13215.6666666667,40,65,5,
,28,,50787,50787,39,50787,27,39,-6,
,29,,47538.3333333333,47538.3333333333,38,47538.3333333333,30,38,-5,
,30,,32835.3333333333,32835.3333333333,42,32835.3333333333,20,42,-4,
,31,,40231.6666666667,40231.6666666667,48,40231.6666666667,40,48,-2,
,32,,50901.6666666667,50901.6666666667,38,50901.6666666667,24,38,-7,
,33,,48583.6666666667,48583.6666666667,36,48583.6666666667,26,36,-7,
,34,,15502.3333333333,15502.3333333333,65,15502.3333333333,40,65,3,
,35,,44766.3333333333,44766.3333333333,34,44766.3333333333,26,34,-7,
,36,,46614.3333333333,46614.3333333333,36,46614.3333333333,20,36,-7,
,37,,50249.6666666667,50249.6666666667,40,50249.6666666667,40,40,-7,
,38,,48145,48145,35,48145,22,35,-8,
,39,,48870.6666666667,48870.6666666667,40,48870.6666666667,28,40,-4,
*,40,,51991.6666666667,51991.6666666667,40,51991.6666666667,34,40,-9,
*,41,,52278.3333333333,52278.3333333333,41,52278.3333333333,36,41,-10,
,42,,51227.6666666667,51227.6666666667,42,51227.6666666667,37,42,-10,
,43,,37654.6666666667,37654.6666666667,55,37654.6666666667,30,55,-10,
,44,,30898.6666666667,30898.6666666667,64,30898.6666666667,26,64,-10,
,45,,20949.3333333333,20949.3333333333,65,20949.3333333333,40,65,-10,
,46,,48021,48021,45,48021,28,45,-9,
,47,,25649.3333333333,25649.3333333333,58,25649.3333333333,40,58,-8,
,48,,21107.3333333333,21107.3333333333,64,21107.3333333333,40,64,-8,
,49,,17090.3333333333,17090.3333333333,65,17090.3333333333,40,65,1,
,50,,36875.6666666667,36875.6666666667,31,36875.6666666667,34,31,-8,
,51,,36092,36092,32,36092,40,32,-6,
,52,,37222.6666666667,37222.6666666667,34,37222.6666666667,40,34,-4,
,53,infeas,-51058.3333333333,-51058.3333333333,65,-51058.3333333333,20,65,10,
,54,,50863.6666666667,50863.6666666667,37,50863.6666666667,28,37,-8,
,55,,24109.3333333333,24109.3333333333,51,24109.3333333333,35,51,8,
,56,infeas,-26927.6666666667,-26927.6666666667,65,-26927.6666666667,23,65,7,
,57,,51991.6666666667,51991.6666666667,40,51991.6666666667,35,40,-9,
,58,,50146.6666666667,50146.6666666667,43,50146.6666666667,40,43,-10,
,59,,35180.3333333333,35180.3333333333,52,35180.3333333333,40,52,-10,
*,60,,53128.3333333333,53128.3333333333,40,53128.3333333333,33,40,-10,
,61,,51227.6666666667,51227.6666666667,42,51227.6666666667,40,42,-10,
,62,,51991.6666666667,51991.6666666667,40,51991.6666666667,32,40,-9,
,63,,51784.6666666667,51784.6666666667,41,51784.6666666667,34,41,-9,
,64,,51721.6666666667,51721.6666666667,39,51721.6666666667,31,39,-9,
,65,,51227.6666666667,51227.6666666667,42,51227.6666666667,39,42,-10,
,66,,38127.3333333333,38127.3333333333,50,38127.3333333333,40,50,-10,
,67,,51348,51348,39,51348,31,39,-8,
,68,,52278.3333333333,52278.3333333333,41,52278.3333333333,39,41,-10,
,69,,51760.3333333333,51760.3333333333,41,51760.3333333333,32,41,-10,
,70,,30817,30817,54,30817,40,54,-10,
,71,,51351.6666666667,51351.6666666667,42,51351.6666666667,31,42,-9,
,72,,51870.3333333333,51870.3333333333,40,51870.3333333333,31,40,-9,
,73,infeas,-53988.3333333333,-53988.3333333333,31,-53988.3333333333,35,31,10,
,74,infeas,-45084.6666666667,-45084.6666666667,63,-45084.6666666667,23,63,10,
,75,,53128.3333333333,53128.3333333333,40,53128.3333333333,35,40,-10,
,76,,53128.3333333333,53128.3333333333,40,53128.3333333333,32,40,-10,
,77,,52837,52837,40,52837,31,40,-10,
,78,,52278.3333333333,52278.3333333333,41,52278.3333333333,38,41,-10,
,79,,53128.3333333333,53128.3333333333,40,53128.3333333333,34,40,-10,
,80,,52278.3333333333,52278.3333333333,41,52278.3333333333,40,41,-10,
,81,,52278.3333333333,52278.3333333333,41,52278.3333333333,37,41,-10,
,82,,46878.6666666667,46878.6666666667,45,46878.6666666667,40,45,-10,
,83,,51991.6666666667,51991.6666666667,40,51991.6666666667,33,40,-9,
,84,infeas,-57218.6666666667,-57218.6666666667,30,-57218.6666666667,40,30,10,
